,movie_id,movie,genre,date,1800's,1900's,2000's,Music,Fantasy,Comedy,Adventure,Biography,Western,Thriller,Sci-Fi,Sport,Reality-TV,Mystery,Short,Crime,Documentary,Animation,Musical,Game-Show,Action,Film-Noir,History,Family,Horror,War,Romance,News,Adult,Drama,Talk-Show
0,0000008,Edison Kinetoscopic Record of a Sneeze (1894),Documentary|Short,1894,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0000010,La sortie des usines Lumière (1895),Documentary|Short,1895,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0000012,The Arrival of a Train (1896),Documentary|Short,1896,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,25,The Oxford and Cambridge University Boat Race (1895),,1895,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0000091,Le manoir du diable (1896),Short|Horror,1896,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5,0000131,Une nuit terrible (1896),Short|Comedy|Horror,1896,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
6,0000417,Le voyage dans la lune (1902),Short|Action|Adventure|Comedy|Fantasy|Sci-Fi,1902,0,1,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7,0000439,The Great Train Robbery (1903),Short|Action|Crime|Western,1903,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8,0443,"Hiawatha, the Messiah of the Ojibway (1903)",,1903,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0000628,The Adventures of Dollie (1908),Action|Short,1908,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10,0000833,The Country Doctor (1909),Short|Drama,1909,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
11,0001223,Frankenstein (1910),Short|Horror|Sci-Fi,1910,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
12,0001740,The Lonedale Operator (1911),Short|Drama|Romance,1911,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
13,0002101,Cleopatra (1912),Drama|History,1912,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
14,0002130,L'inferno (1911),Adventure|Drama|Fantasy|Horror,1911,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
15,0002354,Max et Jane veulent faire du théâtre (1911),Short|Comedy|Romance,1911,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
16,0002844,Fantômas - À l'ombre de la guillotine (1913),Crime|Drama,1913,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
17,0003740,Cabiria (1914),Adventure|Drama|History,1914,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
18,0003863,Dough and Dynamite (1914),Comedy|Short,1914,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0004099,"His Majesty, the Scarecrow of Oz (1914)",Family|Fantasy|Adventure|Comedy,1914,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
20,0004100,His Musical Career (1914),Short|Comedy,1914,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0004101,His New Profession (1914),Short|Comedy,1914,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0004210,Laughing Gas (1914),Short|Comedy,1914,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0004395,The New Janitor (1914),Short|Comedy,1914,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0004457,The Patchwork Girl of Oz (1914),Adventure|Family|Fantasy,1914,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
25,0004518,Recreation (1914),Comedy|Short,1914,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0004546,The Rounders (1914),Comedy|Short,1914,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0004936,The Bank (1915),Comedy|Short,1915,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0004972,The Birth of a Nation (1915),Drama|History|War,1915,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
29,0005074,The Champion (1915),Short|Comedy|Sport,1915,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0005078,The Cheat (1915),Drama,1915,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
31,0005530,L'héroïsme de Paddy (1915),,1915,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0005571,A Jitney Elopement (1915),Short|Comedy,1915,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,0005960,Regeneration (1915),Biography|Crime|Drama|Romance,1915,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
34,0006177,The Tramp (1915),Short|Comedy,1915,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0006206,Les vampires (1915),Action|Adventure|Crime|Drama|Mystery|Thriller,1915,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
36,0006414,Behind the Screen (1916),Short|Comedy|Romance,1916,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
37,0006437,The Blacklist (1916),Drama,1916,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
38,0006684,The Fireman (1916),Short|Comedy,1916,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0006689,The Floorwalker (1916),Short|Comedy,1916,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0006864,Intolerance: Love's Struggle Throughout the Ages (1916),Drama|History,1916,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
41,0007145,One A.M. (1916),Comedy|Family|Short,1916,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
42,0007162,The Pawnshop (1916),Comedy|Short,1916,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
